Reporte en HTML Tarea Programada #1 
Detalle de notas. 
Nombre,Apellidos,Género,Carné,Correo,Notas,Estado 
Luis,Navarro Chaves,Femenino,2020018726,lnavarro8726@estudianteclvz.cr,67 80 40 60.8,Reposición 
Ana,Rodríguez Pérez,Masculino,2024051320,arodriguez1320@estudianteclvz.cr,57 56 50 53.8,Reprobado 
Pedro,Chaves Rivera,Masculino,2025015808,pchaves5808@estudianteclvz.cr,30 47 41 40.4,Reprobado 
Miguel,González Mora,Femenino,2021056783,mgonzalez6783@estudianteclvz.cr,41 47 50 46.7,Reprobado 
María,Solano Díaz,Masculino,2024028949,msolano8949@estudianteclvz.cr,75 37 78 62.9,Reposición 
Luis,Pérez Morales,Femenino,2024013828,lperez3828@estudianteclvz.cr,40 2 92 47.5,Reprobado 
Valeria,Navarro Chaves,Femenino,2022023014,vnavarro3014@estudianteclvz.cr,52 38 100 66.3,Reposición 
Jorge,Morales Castro,Femenino,2025012182,jmorales2182@estudianteclvz.cr,44 91 34 56.4,Reprobado 
Pedro,Navarro Martínez,Masculino,2023053149,pnavarro3149@estudianteclvz.cr,27 64 93 66.3,Reposición 
Lucía,Solano Castro,Masculino,2025062143,lsolano2143@estudianteclvz.cr,5 87 85 65.7,Reposición 
Gabriela,Mora Castro,Masculino,2021027626,gmora7626@estudianteclvz.cr,81 99 75 84.9,Aprobado 
Sofía,Navarro Morales,Masculino,2022052875,snavarro2875@estudianteclvz.cr,70 44 16 39.3,Reprobado 
Luis,Rodríguez González,Femenino,2022019129,lrodriguez9129@estudianteclvz.cr,23 82 62 59.2,Reprobado 
Pedro,Morales Rojas,Masculino,2020035969,pmorales5969@estudianteclvz.cr,12 25 95 49.8,Reprobado 
Luis,Sánchez Torres,Femenino,2023050131,lsanchez0131@estudianteclvz.cr,9 21 50 29.6,Reprobado 
Camila,Rivera Pérez,Masculino,2021029632,crivera9632@estudianteclvz.cr,46 23 97 58.4,Reprobado 
Jorge,Rivera Navarro,Masculino,2023011470,jrivera1470@estudianteclvz.cr,5 92 61 57.8,Reprobado 
Carlos,Solano González,Femenino,2024027857,csolano7857@estudianteclvz.cr,83 34 56 55.0,Reprobado 
Andrés,Mora Díaz,Femenino,2025024444,amora4444@estudianteclvz.cr,85 87 86 86.1,Aprobado 
Daniel,Acosta Ramírez,Masculino,2020020537,dacosta0537@estudianteclvz.cr,50 36 33 38.3,Reprobado 
Paula,Rojas Castro,Masculino,2022061352,projas1352@estudianteclvz.cr,34 98 27 53.6,Reprobado 
Camila,Vargas Gómez,Femenino,2023057264,cvargas7264@estudianteclvz.cr,20 81 81 65.8,Reposición 
Sofía,Rivera Rodríguez,Masculino,2024021997,srivera1997@estudianteclvz.cr,61 20 76 52.7,Reprobado 
Gabriela,Castro Gómez,Masculino,2022060906,gcastro0906@estudianteclvz.cr,32 97 19 49.5,Reprobado 
Elena,Ramírez Martínez,Femenino,2024061355,eramirez1355@estudianteclvz.cr,21 92 72 66.2,Reposición 
Carlos,Rivera Díaz,Femenino,2022019163,crivera9163@estudianteclvz.cr,83 91 88 87.8,Aprobado 
Luis,Navarro Díaz,Femenino,2025042617,lnavarro2617@estudianteclvz.cr,26 90 44 55.6,Reprobado 
Carlos,Martínez Gómez,Masculino,2021055340,cmartinez5340@estudianteclvz.cr,47 13 22 25.1,Reprobado 
Paula,Chaves Rodríguez,Femenino,2025059679,pchaves9679@estudianteclvz.cr,24 64 13 33.6,Reprobado 
Ana,Mora Navarro,Femenino,2024063415,amora3415@estudianteclvz.cr,57 89 21 53.8,Reprobado 
Daniel,Torres Morales,Femenino,2021044097,dtorres4097@estudianteclvz.cr,78 46 88 70.8,Aprobado 
María,Gómez Solano,Femenino,2021030386,mgomez0386@estudianteclvz.cr,71 23 71 54.2,Reprobado 
Jorge,Flores Vargas,Masculino,2025049710,jflores9710@estudianteclvz.cr,11 39 62 41.2,Reprobado 
Camila,Acosta Pérez,Masculino,2020025592,cacosta5592@estudianteclvz.cr,76 32 61 54.6,Reprobado 
Jorge,Sánchez Castro,Masculino,2022041756,jsanchez1756@estudianteclvz.cr,74 44 85 67.9,Reposición 
Camila,Morales Castro,Femenino,2022026827,cmorales6827@estudianteclvz.cr,92 13 23 36.8,Reprobado 
Carlos,Acosta Castro,Masculino,2021032425,cacosta2425@estudianteclvz.cr,8 57 78 53.2,Reprobado 
Andrés,Sánchez Morales,Femenino,2024045003,asanchez5003@estudianteclvz.cr,24 99 33 53.9,Reprobado 
Laura,Torres Rodríguez,Masculino,2022056862,ltorres6862@estudianteclvz.cr,58 32 72 54.5,Reprobado 
Gabriela,Chaves Ramírez,Masculino,2022033882,gchaves3882@estudianteclvz.cr,8 52 48 39.4,Reprobado 
Elias,Lizano Valerio,Masculino,2021031212,elizano1212@estudiantec.cr,90 54 80 73.4,Aprobado 
